segment,label,speaker,start,end
[ 00:00:15.420 -->  00:00:16.365],A,SPEAKER_03,15.42096875,16.36596875
[ 00:00:18.036 -->  00:00:19.065],B,SPEAKER_03,18.03659375,19.06596875
[ 00:00:19.926 -->  00:00:21.107],C,SPEAKER_03,19.926593750000002,21.10784375
[ 00:00:21.276 -->  00:00:24.179],D,SPEAKER_03,21.27659375,24.17909375
[ 00:00:24.314 -->  00:00:25.900],E,SPEAKER_00,24.31409375,25.90034375
[ 00:00:28.229 -->  00:00:30.810],F,SPEAKER_02,28.22909375,30.81096875
[ 00:00:31.654 -->  00:00:33.274],G,SPEAKER_02,31.65471875,33.274718750000005
[ 00:00:33.308 -->  00:00:35.029],H,SPEAKER_03,33.30846875,35.02971875
[ 00:00:36.497 -->  00:00:37.544],I,SPEAKER_03,36.49784375,37.54409375
[ 00:00:40.969 -->  00:00:41.695],J,SPEAKER_03,40.969718750000006,41.69534375
[ 00:00:42.420 -->  00:00:43.045],K,SPEAKER_02,42.42096875,43.04534375
[ 00:00:43.045 -->  00:00:43.062],L,SPEAKER_01,43.04534375,43.06221875
[ 00:00:44.226 -->  00:00:44.310],M,SPEAKER_02,44.22659375,44.31096875
[ 00:00:44.310 -->  00:00:45.019],N,SPEAKER_01,44.31096875,45.01971875
[ 00:00:45.222 -->  00:00:46.234],O,SPEAKER_03,45.22221875,46.234718750000006
[ 00:00:46.234 -->  00:00:48.580],P,SPEAKER_01,46.234718750000006,48.580343750000004
[ 00:00:48.698 -->  00:00:51.820],Q,SPEAKER_03,48.69846875,51.820343750000006
[ 00:00:51.870 -->  00:01:04.054],R,SPEAKER_01,51.87096875,64.05471875
[ 00:01:08.779 -->  00:01:08.965],S,SPEAKER_01,68.77971875,68.96534375
[ 00:01:08.965 -->  00:01:09.960],T,SPEAKER_03,68.96534375,69.96096875
[ 00:01:12.930 -->  00:01:13.774],U,SPEAKER_03,72.93096875,73.77471875
[ 00:01:16.744 -->  00:01:19.613],V,SPEAKER_00,76.74471875,79.61346875000001
[ 00:01:20.980 -->  00:01:21.807],W,SPEAKER_00,80.98034375,81.80721875
[ 00:01:22.769 -->  00:01:23.865],X,SPEAKER_00,82.76909375000001,83.86596875000001
[ 00:01:26.194 -->  00:01:27.764],Y,SPEAKER_03,86.19471875,87.76409375
[ 00:01:28.911 -->  00:01:29.940],Z,SPEAKER_03,88.91159375000001,89.94096875000001
[ 00:01:31.881 -->  00:01:32.590],AA,SPEAKER_02,91.88159375000001,92.59034375
[ 00:01:32.910 -->  00:01:34.159],AB,SPEAKER_02,92.91096875000001,94.15971875000001
[ 00:01:34.598 -->  00:01:36.370],AC,SPEAKER_03,94.59846875000001,96.37034375
[ 00:01:37.973 -->  00:01:39.154],AD,SPEAKER_02,97.97346875000001,99.15471875
[ 00:01:40.740 -->  00:01:41.297],AE,SPEAKER_03,100.74096875000001,101.29784375000001
[ 00:01:41.483 -->  00:01:41.804],AF,SPEAKER_03,101.48346875,101.80409375
